Employee_ID,Cluster,Job_Family,Age_Bucket,Generation,Gender,Tenure_Bucket,Grade_Bucket,Latest_Rating,No_Of_Promos,Compensation_Ratio_Bucket,Team_Change,Title_Change,Manager_Change,Total_Span,Manager_Age,Manager_Gender,Manager_Generation,Manager_Tenure_Bukcet,Manager_Total_Span,Manager_latest_Rating,Manager_Grade_Bucket,latest_Increment,Career Development,Change Management,Collaboration,Commit,Communication,Enabling Infrastructure,Ethics,Inclusion & Diversity,Leadership,Openness,People Manager,Performance,Respect,Role Clarity,Strategy & Direction,Talent & Staffing,Total Rewards,Values - Audacity,Values - Bias for Action,Values - Customer First,Work-Life Balance,NPS_Score,TSLP Bucket,Employee Status,Emp Stat
103711,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.7 - 0.8,0,0,4,0,34,M,Gen Y,2-3 Yrs,2,EE,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
103882,Flipkart Group,Procurement,40-44 Years,Gen X,M,2-3 Yrs,8--9,OP,0,0.8 - 0.9,0,0,1,0,41,M,Gen Y,3-4 Yrs,3,EE,12--13,11.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
104186,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,43,M,Gen X,2-3 Yrs,1,ME,8--9,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
104171,Flipkart Group,Fire Safety and Security,35-39 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,52,M,Gen X,Above 5 Yrs,7,ME,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
106828,Flipkart Corp,Analytics - Data Analyst,30-34 Years,Gen Y,F,3-4 Yrs,8--9,ME,0,0.8 - 0.9,2,0,6,0,35,M,Gen Y,Above 5 Yrs,8,EE,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
108012,CDO&M3,Business Quality,35-39 Years,Gen Y,M,2-3 Yrs,10--11,EE,0,0.9 - 1,0,0,1,0,41,M,Gen Y,2-3 Yrs,7,ME,12--13,9.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
108563,CDO&M3,Business Quality,30-34 Years,Gen Y,M,3-4 Yrs,8--9,ME,0,0.8 - 0.9,1,0,2,0,47,M,Gen X,2-3 Yrs,8,EE,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
108773,FPG,Software Development Engineering,25-29 Years,Gen Z,M,1-2 Yrs,8--9,EE,0,0.9 - 1,1,0,1,0,41,M,Gen Y,Above 5 Yrs,18,ME,12--13,9.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
109732,Flipkart Group,Procurement,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.9 - 1,0,0,1,0,33,M,Gen Y,3-4 Yrs,3,ME,8--9,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
113237,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,2-3 Yrs,8--9,EE,0,0.7 - 0.8,0,0,1,0,36,M,Gen Y,Above 5 Yrs,7,ME,10--11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
115433,Flipkart Group,Accounting,25-29 Years,Gen Y,F,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,31,M,Gen Y,Above 5 Yrs,6,EE,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
108751,UAR,UI Engineering,30-34 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.9 - 1,2,0,3,0,30,M,Gen Y,6 Months - 1 Yr,21,ME,12--13,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
117998,Flipkart Group,Fire Safety and Security,45-49 Years,Gen X,M,2-3 Yrs,8--9,EE,0,0.7 - 0.8,0,0,2,0,56,M,Gen X,Above 5 Yrs,3,ME,10--11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
118105,Flipkart Group,Fire Safety and Security,35-39 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,2,0,33,M,Gen Y,1-2 Yrs,1,EE,8--9,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
118456,UAR,Software Development Engineering,20-24 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,2,0,2,0,32,M,Gen Y,Above 5 Yrs,15,OP,12--13,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
121285,Flipkart Group,Accounting,30-34 Years,Gen Y,F,2-3 Yrs,8--9,ME,0,0.9 - 1,2,0,3,0,37,M,Gen Y,1-2 Yrs,5,ME,12--13,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
122391,SSE,Architect,40-44 Years,Gen Y,M,2-3 Yrs,12--13,EE,0,1+,1,0,2,0,41,M,Gen Y,2-3 Yrs,9,EE,14--15,8.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
113166,UAR,Software Development Engineering,25-29 Years,Gen Y,M,2-3 Yrs,8--9,MSE,0,0.8 - 0.9,2,0,3,0,38,M,Gen Y,1-2 Yrs,12,ME,12--13,12.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
