Open_Text,Perfect_Interview,Compensation_Expectation,Documentation,Inexperienced_Interviewers,Infrastructure,Insufficient_time,Interview_Content,Interview_Process_Drive,Interviewer_Professionalism,Job_Description,Lack_of_Knowledge,Lengthy_Process,Loop_Closure,Online__F2F,Openess_to_Multiple_approach,Problem_Statement,Role_Clarity,Selection_Information,Schedule_Adherance,Timely_Communication,Time_Slot_Flexibility,Recruiter_professionalism,Joining_Date_Flexibility,Application_Process,Sum
The documentation required are huge in nos some information is not relevant of prior to prior employer which difficult to recongise,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Problem selection wasnt good. could be completed in 1.5 hours,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"The interviews were very unstructured, interviewer was disinterested and perhaps tired.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
An interview started late and the interviewer was quite curt and rude.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Job discription was not clear,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
interviewers were too late,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
The final round is too tiring. You're drained by the last round and unable to concentrate till the end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Job description was not clear for me, so i can't comment on interviewer, the recruiting agency was faulty.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The HR who took my interview asked me all negative questions only. It disturbed me.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
He got offended when I told him that his suggestion was not good. He started throwing random possibilities at me for my problem statement and tried to find flaws that could not have been coded in the 90 min interview,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
I think some sitting space is not good and also u lunch is not available.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I don't have any feedback.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The process was tedious...they keep on stretching it saying they are processing. No clear communication,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
